MPID,Atomic number,Atomic weight,Density,Electronegativity,Lattice constant,Polarizability,Heat of formation,Heat of Fusion,Heat of Vaporization
15483,16.92307692,36.45963,3.234692308,2.833076923,5.452307692,16.80076923,230.0024615,0.910769231,30.86153846
31654,10.34615385,21.41105185,1.877153846,2.758461538,6.041153846,35.62067308,266.3078462,2.527307692,63.58461538
23568,12,26.40709425,1.253692308,3.646153846,1.533692308,6.356923077,159.7706154,-0.070769231,4.69
636464,27.23076923,62.28783137,2.418384615,2.081538462,7.123846154,143.9307692,245.6436154,3.483076923,94.78461538
31690,10.84615385,22.223722,1.767769231,3.014615385,6.604615385,15.82307692,276.157,1.502307692,37.10769231
705305,10.76923077,22.14259892,1.685461538,3.012307692,6.615384615,16.13076923,285.2354615,1.233076923,46.18461538
772342,22.92307692,53.03712923,4.452384615,2.830769231,5.776153846,39.05384615,368.8046923,6.461538462,182.5384615
780336,10.34615385,21.41105185,1.877153846,2.758461538,6.041153846,35.62067308,266.3078462,2.527307692,63.58461538
568606,33.34615385,77.84429738,5.343730769,2.611923077,5.453461538,48.37307692,279.5513846,10.17961538,203.8723077
767735,8.442307692,17.502324,1.586730769,2.570192308,5.533461538,49.97980769,283.2967692,1.792692308,65.94615385
764302,12.07692308,25.63760185,1.616,2.717692308,6.236923077,51.02403846,260.1947692,1.508461538,59.64615385
762136,14.69230769,32.14685385,2.370215385,3.002307692,5.719230769,16.66208538,253.1469231,2.215923077,39.53876923
767749,8.653846154,17.97939758,1.707115385,2.581346154,5.625,47.99903846,280.5171538,1.395384615,64.06730769
19478,16.23076923,35.12441723,3.072461538,2.876153846,6.167692308,22.26153846,285.5486154,2.955384615,81.52307692
554379,14.30769231,31.93823306,1.649076923,3.735384615,-0.051538462,7.573846154,90.32192308,0.277692308,8.999230769
561214,14.30769231,30.58107692,1.671723077,2.783076923,5.697692308,13.85548692,222.2673077,4.470846154,25.29784615
763250,11.07692308,22.75734461,1.900076923,3.031538462,6.576153846,13.66923077,278.4046923,1.077692308,40.73076923
32528,10.23076923,21.28936723,1.753692308,2.755,6.057307692,36.08221154,279.9255385,2.123461538,77.2
560840,14,28.76423077,1.714769231,2.82,6.611230769,20.43076923,304.3575385,3.489230769,41.71076923
721268,5.230769231,10.00907692,0.669753846,2.74,5.259076923,6.341743077,271.3041538,-0.312923077,0.763384615
562025,18.92307692,43.10906327,2.595846154,3.177692308,0.493846154,53.43538462,147.2626923,3.783846154,82.45846154
769535,12.53846154,26.36646338,2.397076923,2.83,6.003076923,27.18461538,321.0255385,3.809230769,113.2
31842,10.57692308,21.85515569,1.957230769,2.778076923,6.04,33.19759615,268.3870769,1.696538462,63.35384615
28708,18.53846154,41.10719415,2.674,2.864615385,6.365384615,22.10769231,258.1409231,0.518461538,58.99230769
743568,12.23076923,26.37600338,2.009507692,2.966923077,6.134615385,13.63186308,243.656,1.238,25.70830769
765259,8.230769231,17.74528656,1.316153846,2.876153846,0.690769231,59.49,137.4907692,2.549230769,84.94769231
767270,8.923076923,18.45573077,1.570384615,2.496153846,5.550769231,53.15673077,279.8463846,9.259230769,127.9230769
779057,9.538461538,19.93715385,2.272230769,2.598461538,5.999230769,40.79423077,309.5540769,5.66,152.1538462
849250,7.076923077,14.15032254,1.102976923,2.751153846,5.641153846,16.42574538,249.6246538,0.744461538,24.37046154
770430,27.30769231,64.92958769,5.246384615,2.82,5.772307692,32.9,383.5816154,4.930769231,204.8461538
767716,10.15384615,20.77911538,1.755846154,2.756153846,5.956923077,31.18557692,309.1255385,12.63,134.5384615
542045,23.53846154,56.10391615,3.826369231,2.947692308,5.647692308,21.82362385,260.11,1.499,53.208
763346,9.846153846,20.59702985,2.416230769,2.684615385,5.15,38.30192308,334.6417692,2.133846154,81.93846154
758157,9.076923077,18.73361835,1.3931,2.818461538,5.390153846,32.50439308,291.9697308,0.665153846,14.36184615
19507,16.61538462,36.69831446,3.025538462,2.674615385,6.421538462,48.03076923,290.0409231,4.727692308,115.0769231
28176,24.61538462,55.08615385,3.084615385,2.923076923,5.783846154,19.08769231,152.5246154,9.012307692,52.00769231
780485,9.307692308,19.14069415,1.5036,2.823846154,6.095384615,26.77073923,270.7407692,1.348230769,53.88492308
762591,9.923076923,20.52845,2.051892308,2.793846154,6.448461538,16.80109385,290.813,1.657230769,37.35446154
27600,18.30769231,40.55242492,2.983230769,2.843846154,5.993846154,17.72307692,227.864,1.180769231,20.68461538
510228,17.07692308,38.54415385,2.695461538,2.955384615,5.877692308,22.9,282.097,4.755384615,77.73846154
566509,11.5,23.70705215,2.007653846,2.772307692,6.125384615,33.03461538,262.4101538,1.667692308,57.57307692
558329,14.30769231,31.06276923,2.472384615,3.024615385,5.863846154,21.5,286.8046923,2.804615385,79.26153846
541146,17.84615385,40.014263,2.781846154,3.126923077,1.964615385,16.28769231,256.5653846,6.95,67.10307692
31797,10.57692308,21.85515569,1.957230769,2.778076923,6.04,33.19759615,268.3870769,1.696538462,63.35384615
558415,17.53846154,35.93910954,2.281384615,2.061538462,8.225384615,84.72307692,244.43,25.70307692,37.28384615
32443,10.76923077,22.14259892,1.685461538,3.012307692,6.615384615,16.13076923,285.2354615,1.233076923,46.18461538
31828,10.57692308,21.85515569,1.957230769,2.778076923,6.04,33.19759615,268.3870769,1.696538462,63.35384615
600159,9.384615385,18.69241538,1.813938462,2.477692308,5.816769231,14.00218769,368.4147692,1.461384615,32.32430769
767928,8.692307692,18.05622738,1.739615385,2.587692308,5.502307692,47.74903846,283.2748462,1.435384615,67.3
767911,8.692307692,18.05622738,1.739615385,2.587692308,5.502307692,47.74903846,283.2748462,1.435384615,67.3
743571,8.923076923,18.30669908,1.840553846,2.649230769,6.091538462,17.16372615,260.3050769,5.528307692,63.27815385
767740,10.76923077,22.14259892,1.685461538,3.012307692,6.615384615,16.13076923,285.2354615,1.233076923,46.18461538
31909,21.92307692,50.361684,4.933076923,2.705384615,6.763846154,30.33846154,339.0563077,6.276923077,167
761708,14.69230769,32.14685385,2.370215385,3.002307692,5.719230769,16.66208538,253.1469231,2.215923077,39.53876923
572707,15.69230769,32.80630769,1.791846154,2.906923077,6.889,15.51538462,258.4392308,3.015384615,15.44230769
772441,22.92307692,53.03712923,4.452384615,2.830769231,5.776153846,39.05384615,368.8046923,6.461538462,182.5384615
31850,10.57692308,21.85515569,1.957230769,2.778076923,6.04,33.19759615,268.3870769,1.696538462,63.35384615
767912,8.692307692,18.05622738,1.739615385,2.587692308,5.502307692,47.74903846,283.2748462,1.435384615,67.3
672972,12.84615385,27.35556046,1.777769231,3.037692308,6.830769231,13.51538462,268.7508462,0.430769231,33.56923077
780110,9.307692308,19.14069415,1.5036,2.823846154,6.095384615,26.77073923,270.7407692,1.348230769,53.88492308
763261,11,22.51979123,1.821153846,3.027692308,6.603846154,14.20769231,277.5431538,0.948461538,36.95384615
767734,8.519230769,17.69233231,1.609038462,2.564423077,5.8775,49.0375,274.4398462,1.421538462,56.69615385
559233,15.69230769,32.80630769,1.791846154,2.906923077,6.889,15.51538462,258.4392308,3.015384615,15.44230769
762697,10.76923077,22.68190586,2.043307692,2.973076923,3.152692308,36.55375,208.0256538,3.626153846,75.47923077
555172,21.26923077,45.64907492,2.461115385,2.150769231,8.571923077,73.21153846,267.2469231,13.78923077,47.73807692
767748,8.576923077,17.74465669,1.647346154,2.580576923,5.530192308,48.69134615,282.0667692,1.444615385,63.56153846
767903,8.384615385,17.44148169,1.525,2.568461538,5.541538462,50.21057692,290.1056154,1.590769231,72.75384615
542770,10.07692308,20.66798169,2.154046154,2.836923077,5.522307692,15.87801692,311.1514615,1.718769231,55.66215385
745115,11.42307692,23.5484571,2.473030769,2.806923077,5.924230769,22.67911962,315.4633654,9.047576923,133.4655385
680443,62.61538462,155.4764,8.121076923,1.498461538,5.036153846,121.6769231,162.5230769,34.84076923,123.8092308
767736,8.5,17.59662208,1.620653846,2.574038462,5.530576923,49.49903846,281.3736923,1.721538462,63.63846154
560589,16.15384615,35.41252223,2.311076923,3.261538462,2.369846154,17.46461538,231.2893846,3.535384615,66.73461538
772591,10.76923077,22.45531446,2.168538462,2.533846154,6.417692308,44.30192308,271.5233077,9.752307692,115.1538462
680463,68.15384615,169.7439385,8.329076923,1.498461538,5.146923077,130.9384615,160.0307692,3.979230769,146.4153846
32508,9.923076923,20.52137731,1.588692308,2.776538462,6.216923077,33.69759615,272.2716923,1.546923077,61.42307692
27346,30.92307692,72.25685208,4.501215385,2.630769231,5.153076923,25.70230769,139.7196923,6.128076923,69.76769231
762570,9.153846154,18.83292308,1.706076923,2.511538462,5.539230769,51.23365385,272.1540769,8.974615385,118.6923077
850154,7.076923077,14.15032254,1.102976923,2.751153846,5.641153846,16.42574538,249.6246538,0.744461538,24.37046154
771936,48.46153846,114.9158515,4.343076923,2.154615385,7.028461538,80.74615385,144.4240769,13.75230769,90.50384615
567267,25.76923077,60.35588462,4.539730769,2.941538462,5.603846154,27.88846154,317.7151154,5.393846154,137.7923077
760319,36.92307692,90.4533387,4.452769231,2.889230769,5.427692308,21.60307692,220.9183077,3.731538462,66.11846154
767879,8.384615385,17.44148169,1.525,2.568461538,5.541538462,50.21057692,290.1056154,1.590769231,72.75384615
767893,8.461538462,17.52260477,1.607307692,2.570769231,5.530769231,49.90288462,281.0271538,1.86,63.67692308
607454,11.84615385,24.44119527,1.6333,2.872307692,4.947461538,15.5,355.8955385,3.323846154,30.81230769
556869,28,65.20749769,3.571384615,2.845384615,6.006153846,21.92307692,244.1046154,8.378461538,77.76538462
767894,8.384615385,17.44148169,1.525,2.568461538,5.541538462,50.21057692,290.1056154,1.590769231,72.75384615
29104,14.61538462,30.95023077,2.852153846,2.726153846,5.293076923,32.28769231,282.5870769,4.843076923,114.5692308
559902,15.38461538,34.57249377,2.163692308,3.238461538,2.005384615,11.35692308,289.5223077,2.931538462,11.08923077
767831,11.46153846,23.73611723,2.239538462,2.810769231,6.016153846,29.27019231,278.2409231,2.116153846,70.73846154
19482,10.69230769,22.06619712,1.606461538,2.722307692,6.189230769,38.83076923,258.2563077,1.523076923,57.49230769
32525,9.461538462,19.59700185,1.539230769,2.73,6.075384615,39.04807692,266.2255385,1.561538462,65.2
25736,10.23076923,21.14308846,2.311892308,2.844615385,5.466923077,14.80109385,312.8745385,1.977230769,63.216
767730,8.557692308,17.72437592,1.626769231,2.58,5.532884615,48.76826923,284.3363846,1.377307692,65.83076923
28135,14.92307692,33.32167729,1.867538462,3.690769231,-0.115384615,12.80461538,123.4373077,2.416153846,58.81461538
745208,8.076923077,17.17357692,1.535938462,2.613461538,4.209,15.17141846,407.0253846,-0.087076923,23.932
767890,8.461538462,17.52260477,1.607307692,2.570769231,5.530769231,49.90288462,281.0271538,1.86,63.67692308
759450,24.61538462,56.90703101,3.277384615,2.946923077,5.335384615,19.68,241.9952308,7.223846154,75.04153846
772018,52.61538462,126.3866977,4.564615385,2.140769231,6.783846154,98.00769231,147.9086923,13.39692308,90.04230769
567010,6.769230769,13.53115385,1.588630769,2.729230769,4.825384615,10.80218769,360.3266923,0.482153846,25.81661538
32070,12.42307692,26.48265569,2.227923077,2.816153846,6.072307692,36.08221154,296.4809231,3.335,92.2
767666,8.5,17.67205154,1.588461538,2.563846154,5.880192308,49.11442308,276.7094615,1.354230769,58.96538462
542630,15.69230769,31.72577292,1.993076923,2.46,9.454615385,21.12307692,289.2715385,1.623846154,22.59230769
767898,8.461538462,17.52260477,1.607307692,2.570769231,5.530769231,49.90288462,281.0271538,1.86,63.67692308
780522,7.038461538,14.109761,1.061823077,2.75,5.646538462,16.57959154,254.1638846,0.609846154,28.90892308
760059,36.92307692,90.4533387,4.452769231,2.889230769,5.427692308,21.60307692,220.9183077,3.731538462,66.11846154
554445,40.30769231,98.75380538,4.746769231,2.787692308,6.098461538,23.84615385,223.0276923,4.886153846,68.84230769
767698,8.711538462,17.96556331,1.707230769,2.583076923,5.683269231,47.65288462,280.7133077,1.518269231,63.46153846
18882,10.69230769,21.92038646,1.724692308,2.99,6.481538462,17.07692308,295.5046923,4.932307692,71.81538462
5308,26.76923077,63.51847,5.111769231,2.812307692,5.780769231,37.28461538,386.1585385,5.661538462,205.1538462
743889,14.61538462,31.67685825,2.804984615,2.774615385,5.348461538,28.62362385,259.8385385,2.859769231,76.108
565804,12.07692308,25.29769712,2.069223077,3.008461538,6.385384615,18.65384615,297.3800769,2.674615385,74.20769231
767902,8.692307692,18.05622738,1.739615385,2.587692308,5.502307692,47.74903846,283.2748462,1.435384615,67.3
767892,8.461538462,17.52260477,1.607307692,2.570769231,5.530769231,49.90288462,281.0271538,1.86,63.67692308
767342,8.692307692,18.05622738,1.739615385,2.587692308,5.502307692,47.74903846,283.2748462,1.435384615,67.3
31640,10.34615385,21.41105185,1.877153846,2.758461538,6.041153846,35.62067308,266.3078462,2.527307692,63.58461538
562977,14,29.72962846,1.891,2.964615385,7.023076923,38.79230769,277.7923846,1.727692308,59.06153846
